AustralianPort,ForeignPort,Passengers_Total,Year,Month_num,Route
Perth,Auckland,4183,1985,1,Perth → Auckland
Perth,Bahrain,55,1985,1,Perth → Bahrain
Perth,Bangkok,1486,1985,1,Perth → Bangkok
Perth,Bombay,1112,1985,1,Perth → Bombay
Perth,Denpasar,5148,1985,1,Perth → Denpasar
Perth,Frankfurt,336,1985,1,Perth → Frankfurt
Perth,Harare,715,1985,1,Perth → Harare
Perth,Hong Kong,4332,1985,1,Perth → Hong Kong
Perth,Honolulu,60,1985,1,Perth → Honolulu
Perth,Jakarta,1013,1985,1,Perth → Jakarta
Perth,Johannesburg,618,1985,1,Perth → Johannesburg
Perth,Kuala Lumpur,4119,1985,1,Perth → Kuala Lumpur
Perth,London,6024,1985,1,Perth → London
Perth,Mauritius,93,1985,1,Perth → Mauritius
Perth,Muscat,15,1985,1,Perth → Muscat
Perth,Rome,387,1985,1,Perth → Rome
Perth,San Francisco,147,1985,1,Perth → San Francisco
Perth,Singapore,14780,1985,1,Perth → Singapore
Perth,Tokyo,90,1985,1,Perth → Tokyo
Port Hedland,Denpasar,308,1985,1,Port Hedland → Denpasar
Sydney,Abu Dhabi,433,1985,1,Sydney → Abu Dhabi
Sydney,Amsterdam,1870,1985,1,Sydney → Amsterdam
Sydney,Apia,738,1985,1,Sydney → Apia
Sydney,Athens,3126,1985,1,Sydney → Athens
Sydney,Auckland,48778,1985,1,Sydney → Auckland
Sydney,Bahrain,401,1985,1,Sydney → Bahrain
Sydney,Bandar Seri Begawan,117,1985,1,Sydney → Bandar Seri Begawan
Sydney,Bangkok,4964,1985,1,Sydney → Bangkok
Sydney,Beijing,2321,1985,1,Sydney → Beijing
Sydney,Belgrade,2619,1985,1,Sydney → Belgrade
Sydney,Bombay,2438,1985,1,Sydney → Bombay
Sydney,Christchurch,16179,1985,1,Sydney → Christchurch
Sydney,Colombo,343,1985,1,Sydney → Colombo
Sydney,Denpasar,5658,1985,1,Sydney → Denpasar
Sydney,Dubai,268,1985,1,Sydney → Dubai
Sydney,Frankfurt,3011,1985,1,Sydney → Frankfurt
Sydney,Guangzhou,1293,1985,1,Sydney → Guangzhou
Sydney,Harare,1664,1985,1,Sydney → Harare
Sydney,Hong Kong,16560,1985,1,Sydney → Hong Kong
Sydney,Honolulu,11262,1985,1,Sydney → Honolulu
Sydney,Houston,62,1985,1,Sydney → Houston
Sydney,Jakarta,5181,1985,1,Sydney → Jakarta
Sydney,Johannesburg,1741,1985,1,Sydney → Johannesburg
Sydney,Kuala Lumpur,5157,1985,1,Sydney → Kuala Lumpur
Sydney,Larnaca,34,1985,1,Sydney → Larnaca
Sydney,London,10687,1985,1,Sydney → London
Sydney,Los Angeles,12349,1985,1,Sydney → Los Angeles
Sydney,Manchester,982,1985,1,Sydney → Manchester
Sydney,Manila,6525,1985,1,Sydney → Manila
Sydney,Mauritius,291,1985,1,Sydney → Mauritius
Sydney,Muscat,371,1985,1,Sydney → Muscat
Sydney,Nadi,12953,1985,1,Sydney → Nadi
Sydney,Nauru,118,1985,1,Sydney → Nauru
Sydney,New York,251,1985,1,Sydney → New York
Sydney,Noumea,4350,1985,1,Sydney → Noumea
Sydney,Papeete,2545,1985,1,Sydney → Papeete
Sydney,Paris,848,1985,1,Sydney → Paris
Sydney,Port Moresby,5122,1985,1,Sydney → Port Moresby
Sydney,Port Vila,2085,1985,1,Sydney → Port Vila
Sydney,Rome,3309,1985,1,Sydney → Rome
Sydney,San Francisco,6104,1985,1,Sydney → San Francisco
Sydney,Singapore,23899,1985,1,Sydney → Singapore
Sydney,Tokyo,11942,1985,1,Sydney → Tokyo
Sydney,Vancouver,2653,1985,1,Sydney → Vancouver
Sydney,Wellington,8237,1985,1,Sydney → Wellington
Townsville,Auckland,1296,1985,1,Townsville → Auckland
Townsville,Bahrain,1,1985,1,Townsville → Bahrain
Townsville,Frankfurt,36,1985,1,Townsville → Frankfurt
Townsville,London,246,1985,1,Townsville → London
Townsville,Rome,19,1985,1,Townsville → Rome
Townsville,Singapore,750,1985,1,Townsville → Singapore
Adelaide,Auckland,1835,1985,2,Adelaide → Auckland
Adelaide,Bahrain,19,1985,2,Adelaide → Bahrain
Adelaide,Bombay,8,1985,2,Adelaide → Bombay
Adelaide,Frankfurt,381,1985,2,Adelaide → Frankfurt
Adelaide,London,2191,1985,2,Adelaide → London
Adelaide,Muscat,8,1985,2,Adelaide → Muscat
Adelaide,Rome,166,1985,2,Adelaide → Rome
Adelaide,Singapore,3207,1985,2,Adelaide → Singapore
Brisbane,Abu Dhabi,63,1985,2,Brisbane → Abu Dhabi
Brisbane,Auckland,8622,1985,2,Brisbane → Auckland
Brisbane,Bahrain,15,1985,2,Brisbane → Bahrain
Brisbane,Bangkok,820,1985,2,Brisbane → Bangkok
Brisbane,Bombay,79,1985,2,Brisbane → Bombay
Brisbane,Christchurch,3570,1985,2,Brisbane → Christchurch
Brisbane,Frankfurt,282,1985,2,Brisbane → Frankfurt
Brisbane,Hong Kong,2526,1985,2,Brisbane → Hong Kong
Brisbane,Honiara,739,1985,2,Brisbane → Honiara
